"Table 4.03: Arrests of persons where age unknown by sex, offence group and police force area: 2008/09 to 2012/13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Males,,,,,,,,,,,,,Females,,,,,,,,,,,,,Males and Females,,,,,,,,,,
,,Violence against the person,Sexual offences,Robbery,Burglary,Theft & handling,Fraud & forgery,Criminal damage,Drug offences,Other offences,Total,,,,Violence against the person,Sexual offences,Robbery,Burglary,Theft & handling,Fraud & forgery,Criminal damage,Drug offences,Other offences,Total,,,Violence against the person,Sexual offences,Robbery,Burglary,Theft & handling,Fraud & forgery,Criminal damage,Drug offences,Other offences,Total
,Norfolk,3,1,0,1,1,0,1,1,4,12,,,Norfolk,2,0,0,0,0,0,0,0,1,3,,Norfolk,5,1,0,1,1,0,1,1,5,15
,Northamptonshire,0,0,0,0,0,0,1,0,0,1,,,Northamptonshire,0,0,0,0,0,1,0,0,0,1,,Northamptonshire,0,0,0,0,0,1,1,0,0,2
,Northumbria,0,0,0,0,0,0,0,1,0,1,,,Northumbria,0,0,0,0,0,0,0,0,0,0,,Northumbria,0,0,0,0,0,0,0,1,0,1
,North Wales,0,0,0,0,0,0,0,0,0,0,,,North Wales,0,0,0,0,0,0,1,0,0,1,,North Wales,0,0,0,0,0,0,1,0,0,1
,North Yorkshire,0,0,0,0,0,0,0,0,0,0,,,North Yorkshire,0,0,0,0,0,0,0,0,0,0,,North Yorkshire,0,0,0,0,0,0,0,0,0,0
,Nottinghamshire,2,0,0,1,1,0,0,0,4,8,,,Nottinghamshire,0,0,0,0,0,0,0,0,2,2,,Nottinghamshire,2,0,0,1,1,0,0,0,6,10
,South Wales,2,1,0,1,0,0,0,0,0,4,,,South Wales,1,0,0,0,1,0,0,0,0,2,,South Wales,3,1,0,1,1,0,0,0,0,6
,South Yorkshire,0,0,0,0,1,0,0,0,2,3,,,South Yorkshire,0,0,0,0,0,0,0,0,0,0,,South Yorkshire,0,0,0,0,1,0,0,0,2,3
,Staffordshire,4,1,0,0,1,0,1,1,0,8,,,Staffordshire,1,0,0,0,2,0,0,0,0,3,,Staffordshire,5,1,0,0,3,0,1,1,0,11
,Suffolk,1,0,0,0,2,0,0,0,3,6,,,Suffolk,1,0,0,0,1,0,0,0,1,3,,Suffolk,2,0,0,0,3,0,0,0,4,9
,Surrey,0,0,0,0,0,0,0,0,0,0,,,Surrey,0,0,0,0,0,0,0,0,0,0,,Surrey,0,0,0,0,0,0,0,0,0,0
,Sussex,3,1,0,2,0,0,1,1,14,22,,,Sussex,2,0,0,0,1,0,0,0,6,9,,Sussex,5,1,0,2,1,0,1,1,20,31
,Thames Valley,0,0,0,1,1,1,0,0,5,8,,,Thames Valley,0,0,0,0,3,0,0,0,1,4,,Thames Valley,0,0,0,1,4,1,0,0,6,12
,Warwickshire,0,0,0,0,0,0,1,0,1,2,,,Warwickshire,0,0,0,0,0,0,0,0,0,0,,Warwickshire,0,0,0,0,0,0,1,0,1,2
,West Mercia,1,0,0,0,2,0,1,0,3,7,,,West Mercia,0,0,0,0,0,0,0,0,0,0,,West Mercia,1,0,0,0,2,0,1,0,3,7
,West Midlands,3,1,0,0,3,0,1,2,1,11,,,West Midlands,0,0,0,0,0,0,0,0,1,1,,West Midlands,3,1,0,0,3,0,1,2,2,12
,West Yorkshire,0,1,0,1,1,1,0,1,1,6,,,West Yorkshire,1,0,0,0,0,0,0,0,0,1,,West Yorkshire,1,1,0,1,1,1,0,1,1,7
,Wiltshire,0,0,0,0,0,0,3,0,0,3,,,Wiltshire,0,0,0,0,0,0,0,0,0,0,,Wiltshire,0,0,0,0,0,0,3,0,0,3
,Total,161,24,10,29,92,7,44,36,181,584,,,Total,48,0,0,5,40,4,6,4,40,147,,Total,209,24,10,34,132,11,50,40,221,731
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012/13,Avon & Somerset,0,0,0,0,0,0,0,0,0,0,,2012/13,Avon & Somerset,0,0,0,0,0,0,0,0,0,0,,Avon & Somerset,0,0,0,0,0,0,0,0,0,0
,Bedfordshire,2,0,0,1,3,0,1,0,4,11,,,Bedfordshire,1,0,0,0,0,0,0,0,2,3,,Bedfordshire,3,0,0,1,3,0,1,0,6,14
,Cambridgeshire,0,0,0,1,1,0,0,0,1,3,,,Cambridgeshire,0,0,0,0,1,0,0,0,0,1,,Cambridgeshire,0,0,0,1,2,0,0,0,1,4
,Cheshire,0,0,0,0,0,0,0,0,0,0,,,Cheshire,0,0,0,0,0,0,0,0,0,0,,Cheshire,0,0,0,0,0,0,0,0,0,0
,Cleveland,2,0,0,0,1,0,0,0,0,3,,,Cleveland,0,0,0,0,0,0,0,0,0,0,,Cleveland,2,0,0,0,1,0,0,0,0,3
,Cumbria,19,1,0,3,5,0,11,4,0,43,,,Cumbria,10,0,0,0,1,0,0,0,0,11,,Cumbria,29,1,0,3,6,0,11,4,0,54
,Derbyshire,1,0,0,1,0,0,0,0,0,2,,,Derbyshire,0,0,0,0,0,0,0,0,0,0,,Derbyshire,1,0,0,1,0,0,0,0,0,2
,Devon & Cornwall,1,0,0,0,0,0,0,0,0,1,,,Devon & Cornwall,0,0,0,0,0,0,0,0,0,0,,Devon & Cornwall,1,0,0,0,0,0,0,0,0,1
,Dorset,102,9,5,21,49,6,16,31,30,269,,,Dorset,12,0,0,1,8,4,2,3,4,34,,Dorset,114,9,5,22,57,10,18,34,34,303
,Durham,0,0,0,1,0,0,2,1,2,6,,,Durham,1,0,0,0,0,0,0,0,0,1,,Durham,1,0,0,1,0,0,2,1,2,7
,Dyfed-Powys,2,0,0,0,1,0,1,2,0,6,,,Dyfed-Powys,2,0,0,0,0,0,0,1,0,3,,Dyfed-Powys,4,0,0,0,1,0,1,3,0,9
,Essex,11,0,0,0,1,0,4,0,4,20,,,Essex,0,0,0,0,1,0,0,0,0,1,,Essex,11,0,0,0,2,0,4,0,4,21
,Gloucestershire,0,0,0,0,0,0,0,0,0,0,,,Gloucestershire,0,0,0,0,0,0,0,0,0,0,,Gloucestershire,0,0,0,0,0,0,0,0,0,0
,Greater Manchester,2,1,1,2,18,0,2,0,7,33,,,Greater Manchester,1,0,0,0,2,0,0,1,0,4,,Greater Manchester,3,1,1,2,20,0,2,1,7,37
,Gwent,3,0,0,0,0,0,0,0,1,4,,,Gwent,2,0,0,0,1,0,0,1,0,4,,Gwent,5,0,0,0,1,0,0,1,1,8
,Hampshire,14,2,1,1,6,0,7,1,1,33,,,Hampshire,6,1,1,0,7,1,0,0,1,17,,Hampshire,20,3,2,1,13,1,7,1,2,50
,Hertfordshire,0,0,0,1,0,0,0,0,0,1,,,Hertfordshire,0,0,0,0,0,0,0,0,0,0,,Hertfordshire,0,0,0,1,0,0,0,0,0,1
,Humberside,2,0,0,0,5,0,0,0,2,9,,,Humberside,0,0,0,0,0,0,0,0,1,1,,Humberside,2,0,0,0,5,0,0,0,3,10
,Kent,2,0,0,0,0,0,0,0,3,5,,,Kent,0,0,0,0,0,0,0,0,0,0,,Kent,2,0,0,0,0,0,0,0,3,5
,Lancashire,1,0,0,1,0,0,2,0,1,5,,,Lancashire,0,0,0,0,0,0,0,0,0,0,,Lancashire,1,0,0,1,0,0,2,0,1,5
,Leicestershire,0,0,0,1,1,0,0,0,1,3,,,Leicestershire,0,0,0,0,0,0,0,0,0,0,,Leicestershire,0,0,0,1,1,0,0,0,1,3
,Lincolnshire,2,0,0,0,1,0,0,0,0,3,,,Lincolnshire,1,0,0,0,0,0,0,0,0,1,,Lincolnshire,3,0,0,0,1,0,0,0,0,4
,"London, City of",1,0,0,0,0,0,0,0,0,1,,,"London, City of",0,0,0,0,0,0,0,0,0,0,,"London, City of",1,0,0,0,0,0,0,0,0,1
,Merseyside,0,0,0,0,0,0,1,1,0,2,,,Merseyside,0,0,0,0,0,0,0,0,0,0,,Merseyside,0,0,0,0,0,0,1,1,0,2
,Metropolitan Police,38,6,3,6,10,3,9,11,59,145,,,Metropolitan Police,4,0,0,0,13,1,2,2,12,34,,Metropolitan Police,42,6,3,6,23,4,11,13,71,179
,Norfolk,2,0,0,1,0,0,0,0,0,3,,,Norfolk,1,0,0,1,0,0,0,1,3,6,,Norfolk,3,0,0,2,0,0,0,1,3,9
,Northamptonshire,0,0,0,1,0,0,0,0,1,2,,,Northamptonshire,0,0,0,0,0,0,0,0,0,0,,Northamptonshire,0,0,0,1,0,0,0,0,1,2
,Northumbria,0,0,0,0,0,0,0,0,0,0,,,Northumbria,0,0,0,0,1,1,0,0,0,2,,Northumbria,0,0,0,0,1,1,0,0,0,2
,North Wales,0,0,0,0,0,0,0,0,0,0,,,North Wales,0,0,0,0,0,0,0,0,0,0,,North Wales,0,0,0,0,0,0,0,0,0,0
,North Yorkshire,0,0,0,0,0,0,0,0,0,0,,,North Yorkshire,0,0,0,0,0,0,0,0,0,0,,North Yorkshire,0,0,0,0,0,0,0,0,0,0
,Nottinghamshire,0,0,0,0,0,0,1,0,2,3,,,Nottinghamshire,0,0,0,0,0,0,0,0,0,0,,Nottinghamshire,0,0,0,0,0,0,1,0,2,3
,South Wales,0,0,0,0,0,0,0,0,0,0,,,South Wales,0,0,0,0,0,0,0,0,0,0,,South Wales,0,0,0,0,0,0,0,0,0,0
,South Yorkshire,2,0,0,1,3,0,0,1,1,8,,,South Yorkshire,1,0,0,0,2,0,0,0,0,3,,South Yorkshire,3,0,0,1,5,0,0,1,1,11
,Staffordshire,46,1,2,6,14,0,21,8,19,117,,,Staffordshire,11,0,0,2,5,1,2,0,3,24,,Staffordshire,57,1,2,8,19,1,23,8,22,141
,Suffolk,1,0,0,0,1,1,0,0,1,4,,,Suffolk,0,0,0,0,0,0,0,0,1,1,,Suffolk,1,0,0,0,1,1,0,0,2,5
,Surrey,0,0,0,0,0,0,0,0,0,0,,,Surrey,0,0,0,0,0,0,0,0,0,0,,Surrey,0,0,0,0,0,0,0,0,0,0
,Sussex,1,0,0,2,4,0,2,0,5,14,,,Sussex,5,0,0,0,1,0,1,0,7,14,,Sussex,6,0,0,2,5,0,3,0,12,28
,Thames Valley,0,0,0,0,1,0,0,1,1,3,,,Thames Valley,1,0,0,0,0,0,0,0,0,1,,Thames Valley,1,0,0,0,1,0,0,1,1,4
,Warwickshire,0,0,0,0,0,0,1,0,1,2,,,Warwickshire,0,0,0,0,0,0,0,0,0,0,,Warwickshire,0,0,0,0,0,0,1,0,1,2
,West Mercia,1,0,0,0,0,0,0,1,0,2,,,West Mercia,0,0,0,0,0,0,0,0,0,0,,West Mercia,1,0,0,0,0,0,0,1,0,2
,West Midlands,1,0,0,0,9,0,1,3,2,16,,,West Midlands,0,0,0,0,3,1,0,0,1,5,,West Midlands,1,0,0,0,12,1,1,3,3,21
,West Yorkshire,7,4,0,0,2,1,1,2,1,18,,,West Yorkshire,6,0,0,0,1,0,1,0,0,8,,West Yorkshire,13,4,0,0,3,1,2,2,1,26
,Wiltshire,0,0,0,0,0,0,0,0,0,0,,,Wiltshire,0,0,0,0,0,0,0,0,0,0,,Wiltshire,0,0,0,0,0,0,0,0,0,0
,Total,266,24,12,51,136,11,83,67,150,800,,,Total,65,1,1,4,47,9,8,9,35,179,,Total,331,25,13,55,183,20,91,76,185,979
