"Table A1.16 Prison population under immediate custodial sentence by detailed sentence length, age group and sex, 2002 to 2014, England and Wales",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,30-Jun-02,30-Jun-03,30-Jun-04,30-Jun-05,30-Jun-06,30-Jun-07,30-Jun-08,30-Jun-09,30-Jun-09(1),30-Jun-10,30-Jun-11,30-Jun-12,30-Jun-13,30-Jun-14
15 - 17 Year Olds,103,57,58,55,50,56,57,42,45,23,16,16,8,0
,,,,,,,,,,,,,,
Less than or equal to 6 months,22,11,19,21,13,20,20,13,13,5,1,1,1,0
Up to and including 3 months,1,0,2,2,0,1,2,1,0,0,0,0,0,0
Over 3 months up to and including 6 months ,21,11,17,19,13,19,19,12,13,4,1,1,1,0
Unrecorded less than or equal to 6 months(2) ,-,-,-,-,-,-,-,-,0,1,0,0,0,0
,,,,,,,,,,,,,,
Over 6 months less than 12 months ,20,4,9,3,6,3,7,6,5,4,2,3,3,0
,,,,,,,,,,,,,,
12 months to less than 4 years,55,37,25,30,29,26,24,12,16,10,7,8,3,0
12 months   ,14,6,6,7,14,7,5,3,3,4,3,1,0,0
Over 12 months up to and including 18 months,15,8,8,9,5,5,7,1,1,1,1,0,1,0
Over 18 months up to and including 3 years,24,18,7,11,9,14,12,9,11,4,3,6,0,0
Over 3 years up to and less than 4 years  ,2,5,3,3,1,0,0,0,1,0,0,0,1,0
Unrecorded 12 months to less than 4 years(2) ,-,-,-,-,-,-,-,-,0,1,0,1,1,0
,,,,,,,,,,,,,,
4 years or more (excluding indeterminate),5,4,5,1,1,4,6,5,7,0,3,3,0,0
4 years,4,3,2,1,0,1,1,1,2,0,2,0,0,0
Over 4 years up to and including 5 years,1,1,2,0,1,1,3,4,5,0,1,1,0,0
Over 5 years up to and including 10 years,0,0,1,0,0,2,1,0,0,0,0,2,0,0
Over 10 years less than indeterminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unrecorded 4 years or more (excluding indeterminate) (2),-,-,-,-,-,-,-,-,0,0,0,0,0,0
,,,,,,,,,,,,,,
Indeterminate,1,1,0,0,1,3,0,5,2,3,3,0,1,0
,,,,,,,,,,,,,,
Recalls(3),-,-,-,-,-,-,-,-,2,1,0,1,0,0
,,,,,,,,,,,,,,
(1) Due to the introduction of a new prison IT system the 2010 prison population data is now taken from a different source and recalls are shown separately (they were previously included in the relevant sentence,,,,,,,,,,,,,,
length band). The 2009 figures from both the old and new systems have been presented to aid comparison.,,,,,,,,,,,,,,
"(2)Sentence length is not recorded centrally for a small proportion of prisoners. For these cases we have estimated the broad sentence length band, but they cannot be allocated to a more detailed sentence length band",,,,,,,,,,,,,,
(3) Prior to 2010 recalls were not recorded separately but were counted in the relevant sentence band,,,,,,,,,,,,,,
