"Table 2: Verdicts returned at inquests, by sex in 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Killed unlawfully,,,Killed lawfully,,,Suicide,,,Attempted or self induced abortion,,,Death aggravated by neglect or self neglect,,,Dependence on drugs,,,Non-dependent abuse of drugs,,,Want of attention at birth,,,Deaths from industrial diseases,,,Deaths by accident (including misadventure),,,Stillborn,,,Deaths from natural causes,,,Open verdicts,,,Disasters,,,All other verdicts (including narrative verdicts),,,TOTAL (all verdicts),,,Age of deceased at death,,,,,,
Cardiff and Vale of Glamorgan,0,2,2,0,0,0,5,1,6,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,11,1,12,33,22,55,0,0,0,83,37,120,20,14,34,0,0,0,80,47,127,240,124,364,9,5,18,51,112,169,0
Carmarthenshire,0,0,0,0,0,0,9,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,28,12,40,0,0,0,13,6,19,4,3,7,0,0,0,0,0,0,57,24,81,2,0,8,20,28,23,0
Central North Wales,0,0,0,0,0,0,18,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,53,55,108,0,0,0,38,22,60,14,3,17,0,0,0,21,11,32,152,95,247,4,4,6,43,65,125,0
Ceredigion,0,0,0,0,0,0,5,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,8,20,0,0,0,4,5,9,3,0,3,0,0,0,0,0,0,24,14,38,0,0,2,8,13,15,0
Gwent,0,2,2,0,0,0,34,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,70,23,93,0,0,0,9,3,12,9,4,13,0,0,0,3,2,5,129,39,168,6,2,20,52,44,44,0
Neath and Port Talbot,0,0,0,0,0,0,18,6,24,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,15,4,19,0,0,0,18,6,24,3,1,4,0,0,0,3,0,3,60,17,77,1,0,9,21,26,20,0
North East Wales,0,2,2,0,0,0,18,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,56,35,91,0,0,0,32,19,51,11,7,18,0,0,0,18,8,26,153,73,226,2,3,9,34,56,122,0
North West Wales,0,0,0,0,0,0,14,3,17,0,0,0,1,0,1,1,0,1,2,0,2,0,0,0,11,0,11,35,10,45,0,0,0,17,13,30,4,3,7,0,0,0,10,7,17,95,36,131,4,3,5,28,35,56,0
Pembrokeshire,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,20,11,31,0,0,0,13,9,22,2,0,2,0,0,0,0,0,0,51,20,71,1,1,9,11,15,34,0
Powys,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,19,6,25,0,0,0,6,14,20,2,2,4,0,0,0,2,0,2,36,26,62,0,0,1,12,21,28,0
City and County of Swansea,0,0,0,0,0,0,18,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,50,11,61,0,0,0,63,28,91,5,2,7,0,0,0,9,2,11,150,46,196,3,1,16,50,55,71,0
