SIC 2007 codes,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
711 : Architectural and engineering activities and related technical consultancy,"49,200","49,000","50,600","53,000","54,900","50,900","52,500","51,600","54,100","60,100","66,700","59,900","67,200","65,000","71,100","75,700"
712 : Technical testing and analysis,"3,300","2,500","3,500","3,000","3,100","3,100","4,100","4,400","4,200","3,900","4,300","3,700","4,800","5,000","4,000","4,900"
721 : Research and experimental development on natural sciences and engineering,"12,500","10,300","11,000","11,200","11,700","12,300","12,200","11,600","12,600","14,800","16,600","18,800","20,700","23,600","15,100","15,600"
722 : Research and experimental development on social sciences and humanities,"1,000","1,100","1,000","1,000","1,100","1,000",900,900,900,900,"1,100","2,100","2,700","2,600",700,"1,100"
731 : Advertising,"34,900","33,900","36,400","37,200","33,500","30,700","31,800","31,300","34,300","36,800","39,800","31,500","42,300","40,000","50,700","60,600"
732 : Market research and public opinion polling,"15,600","14,100","15,700","15,900","14,800","16,300","16,800","24,100","26,400","24,900","28,800","22,100","26,700","19,800","21,900","22,600"
741 : Specialised design activities,"10,300","10,600","10,900","11,300","10,800","9,900","9,900","10,900","11,500","10,900","12,400","11,100","10,700","13,200","12,800","15,900"
742 : Photographic activities,"6,500","6,600","6,800","7,100","6,700","6,200","6,200","6,800","7,200","7,700","7,000","5,000","4,700","5,600","4,600","5,500"
743 : Translation and interpretation activities,"2,900","3,000","3,100","3,200","3,100","2,800","2,800","3,100","3,300","3,300","3,400","3,400","3,300",600,700,"1,000"
"749 : Other professional, scientific and technical activities n.e.c.","23,000","23,500","24,100","25,100","24,400","22,500","22,700","24,200","25,600","25,900","28,000","18,500","16,400","22,400","19,500","23,600"
750 : Veterinary activities,"2,300","2,400","2,700","2,700","3,000","2,900","3,100","3,200","3,200","3,100","3,300","3,200","2,000","3,900","1,200","2,400"
771 : Renting and leasing of motor vehicles,"7,000","8,100","7,400","6,300","6,500","6,200","5,800","6,100","5,700","5,600","6,100","3,200","3,900","3,900","3,200","5,600"
772 : Renting and leasing of personal and household goods,"7,800","7,600","5,100","5,400","5,200","4,700","4,100","4,000","3,800","3,000","3,500","3,600","3,300","4,100","2,900","5,400"
"773 : Renting and leasing of other machinery, equipment and tangible goods","10,400","11,800","13,700","13,900","13,700","12,200","13,200","12,000","12,400","11,900","10,200","9,800","12,900","7,900","9,000","5,700"
"774 : Leasing of intellectual property and similar products, except copyrighted works",100,100,100,100,100,100,100,100,100,100,100,400,800,500,500,300
781 : Activities of employment placement agencies,"43,700","47,300","55,100","54,300","49,300","48,700","51,100","50,800","48,300","50,200","53,200","36,100","33,000","48,400","31,500","34,100"
782 : Temporary employment agency activities,"101,400","109,700","127,700","125,800","114,300","112,800","118,600","117,800","111,900","120,200","119,500","111,100","109,300","114,600","119,100","120,700"
783 : Other human resources provision,0,0,0,0,0,0,0,0,0,0,100,600,700,"1,800","2,200","3,000"
791 : Travel agency and tour operator activities,"28,200","30,200","31,900","33,600","32,300","29,200","26,200","23,100","24,900","23,300","23,100","17,700","19,300","19,000","22,100","21,600"
799 : Other reservation service and related activities,"3,100","3,400","3,500","3,800","3,800","3,400","3,100","2,800","2,800","2,700","2,700","2,500","3,400","4,000","4,500","4,300"
801 : Private security activities,"29,500","32,700","31,400","39,100","39,200","40,900","37,000","37,300","39,900","40,300","47,800","52,800","53,300","54,900","56,100","68,600"
802 : Security systems service activities,100,100,100,100,100,100,100,100,100,200,100,900,"1,400","2,000","1,400","1,700"
803 : Investigation activities,100,100,100,100,100,100,100,100,100,100,100,200,200,400,300,300
811 : Combined facilities support activities,"3,900","3,900","4,300","4,600","5,400","5,800","6,600","7,700","8,600","7,000","13,000","26,900","21,700","22,500","25,900","31,600"
812 : Cleaning activities,"90,900","91,600","95,600","94,200","93,400","90,800","95,700","101,700","108,300","110,000","113,500","102,100","100,400","97,400","108,500","91,000"
813 : Landscape service activities,900,900,"1,000","1,000","1,000","1,000","1,000","1,000","2,900","3,000","2,900","2,700","3,400","3,900","4,700","4,000"
821 : Office administrative and support activities,"3,700","3,800","4,000","4,200","3,900","3,600","3,400","3,800","4,000","4,000","3,800","3,600","5,100","6,000","6,900","7,900"
822 : Activities of call centres,"3,100","2,900","3,000","2,900","2,600",700,"1,400","6,900","3,400","3,200","3,300","3,900","5,100","5,400","4,800","5,700"
823 : Organisation of conventions and trade shows,"5,800","6,000","6,200","6,600","6,200","5,700","5,300","5,900","6,400","6,100","6,200","5,600","6,600","5,800","5,700","6,700"
829 : Business support service activities n.e.c.,"53,700","55,500","57,600","60,800","57,300","52,700","49,300","54,700","58,500","65,100","48,700","44,400","53,800","50,800","48,300","53,300"
841 : Administration of the State and the economic and social policy of the community,"124,900","142,600","130,600","126,300","133,400","142,900","136,300","141,400","140,700","127,900","125,900","137,700","133,700","126,500","125,900","125,300"
842 : Provision of services to the community as a whole,"82,100","69,200","82,600","75,800","85,300","83,300","86,600","96,300","87,800","88,900","91,000",…,…,…,…,…
843 : Compulsory social security activities,"10,000","12,200","11,800","10,700","12,400","11,500","10,100","9,300","8,200","8,500","6,600",…,…,…,…,…
851 : Pre-primary education,"4,200","4,300","4,600","4,400","4,800","5,100","5,300","5,300","4,900","5,700","6,000","4,200","7,200","7,100","8,800","8,200"
852 : Primary education,"82,300","84,500","89,500","85,300","94,200","98,800","104,500","103,400","96,000","110,400","117,900","124,400","122,400","122,900","125,900","125,200"
853 : Secondary education,"59,700","65,400","65,600","61,300","65,800","70,400","69,700","69,600","68,900","70,400","75,900","95,300","87,200","86,700","93,000","90,900"
854 : Higher education,"61,100","66,800","68,700","67,900","70,000","68,000","73,100","73,200","76,900","71,900","62,800","63,100","66,700","67,400","67,700","72,800"
855 : Other education,"23,000","26,100","25,200","27,100","29,100","31,700","34,000","33,300","33,200","33,500","31,100","30,800","35,600","36,100","38,500","34,300"
856 : Educational support activities,600,700,800,800,800,800,900,"1,000","1,100",400,"1,900","1,700","2,400","2,300","2,900","7,200"
861 : Hospital activities,"133,900","139,300","145,100","139,700","143,800","159,400","157,400","159,600","159,100","152,700","164,700","166,100","180,000","184,000","188,300","186,300"
862 : Medical and dental practice activities,"9,500","9,300","9,800","9,100","9,600","9,000","8,500","10,700","10,000","8,700","10,400","8,400","7,100","14,800","16,500","15,900"
869 : Other human health activities,"17,700","16,500","18,900","26,000","25,200","31,700","38,300","40,700","40,000","35,100","40,200","46,100","36,800","38,900","45,200","50,700"
871 : Residential nursing care activities,"13,000","13,400","14,100","14,100","14,400","16,200","16,600","16,900","16,800","16,400","16,800","19,800","16,800","17,400","19,000","21,000"
"872 : Residential care activities for learning disabilities, mental health and substance abuse","6,500","6,400","6,500","6,600","6,500","6,900","7,000","7,200","7,000","5,600","8,300","7,000","5,700","3,500","4,700","4,000"
873 : Residential care activities for the elderly and disabled,"19,300","18,500","18,600","19,100","18,500","18,700","19,400","20,200","19,000","18,200","19,500","13,000","16,300","16,400","18,000","17,700"
879 : Other residential care activities,"23,900","22,800","22,900","23,600","22,800","23,000","23,900","24,800","23,400","23,200","23,100","27,400","25,300","22,100","25,800","19,900"
881 : Social work activities without accommodation for the elderly and disabled,"12,200","11,800","11,400","12,200","12,700","11,800","12,200","13,100","13,200","9,900","19,900","22,700","26,100","29,800","36,000","33,600"
889 : Other social work activities without accommodation,"64,800","62,800","60,800","65,000","67,600","62,700","65,100","69,700","70,200","73,900","81,200","109,000","97,900","88,300","88,200","109,900"
"900 : Creative, arts and entertainment activities","33,300","38,500","38,100","40,500","39,500","36,000","36,000","34,900","31,400","34,100","32,500","16,600","23,700","22,400","29,600","26,800"
"910 : Libraries, archives, museums and other cultural activities","14,100","15,500","14,100","13,900","18,100","15,700","16,800","17,100","17,300","17,700","16,400","20,600","19,000","18,500","18,400","17,000"
920 : Gambling and betting activities,"13,700","16,000","17,500","17,900","18,600","17,700","18,000","18,200","20,000","20,300","21,500","18,100","19,500","19,800","23,200","22,500"
931 : Sports activities,"21,800","25,100","26,300","28,200","28,200","30,000","33,200","34,300","35,900","35,600","39,200","46,200","39,600","50,200","40,900","42,600"
932 : Amusement and recreation activities,"5,400","6,900","7,400","8,400","11,500","9,600","7,600","7,200","7,600","6,900","7,900","4,800","5,200","4,700","7,600","7,300"
"941 : Activities of business, employers and professional membership organisations","11,200","13,400","13,200","13,600","13,400","13,600","14,800","15,500","15,800","16,300","16,200","21,500","15,300","18,100","15,700","16,200"
942 : Activities of trade unions,"4,200","3,900","4,200","5,300","5,100","3,800","3,500","3,800","3,800","3,800","4,200","4,200","3,600","3,700","4,100","3,400"
949 : Activities of other membership organisations,"21,000","23,600","23,700","24,700","27,400","32,800","31,100","30,900","28,300","30,100","29,300","32,400","31,400","40,100","38,500","32,900"
951 : Repair of computers and communication equipment,"7,200","4,400","4,900","3,600","5,400","4,900","4,900","5,300","3,400","2,500","3,400","3,400","8,600","5,900","6,500","3,500"
952 : Repair of personal and household goods,"2,000","2,200","2,500","2,500","2,300","2,400","2,100","1,900","1,800","1,400","1,500","1,100","2,900","1,800","1,700",700
960 : Other personal service activities,"46,100","52,900","56,100","58,400","53,800","48,700","52,900","53,200","55,800","57,900","55,900","41,900","47,800","39,400","41,500","58,200"
970 : Activities of households as employers of domestic personnel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
981 : Undifferentiated goods-producing activities of private households for own use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
982 : Undifferentiated service-producing activities of private households for own use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
990 : Activities of extraterritorial organisations and bodies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL (of table),"3,689,200","3,878,500","4,026,400","4,055,000","3,999,300","3,980,100","3,986,100","4,058,100","4,087,800","4,108,600","4,231,900","4,072,000","4,060,800","4,116,500","4,275,300","4,405,900"
,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,
Cells with '…' include disclosive data and have been suppressed. ,,,,,,,,,,,,,,,,
"For more information on ONS user guidelines on Business Register and Employment Survey (BRES), see 'User Information Guide'.",,,,,,,,,,,,,,,,
"https://www.nomisweb.co.uk/notices/docs/infoguide.pdf
",,,,,,,,,,,,,,,,
"Source: Estimated figures in these tables are based on Business Register and Employment Survey (BRES) and Annual Business Inquiry, part 1 (ABI/1)",,,,,,,,,,,,,,,,
